Nombre,Especie,Descripción,Sector,Índice de referencia,País de origen,Moneda,Mercado,Fecha,Cierre,Apertura,Máximo,Mínimo,Volumen,Variación diaria %
Barrick Gold,BG,Productor de oro,Minería,GOLD,Canadá,USD,NYSE,4/25/2025,19.05,18.88,19.16,18.77,17.06M,-1.85%
Barrick Gold,BG,Productor de oro,Minería,GOLD,Canadá,USD,NYSE,4/24/2025,19.41,19.3,19.42,18.98,20.66M,1.84%
Barrick Gold,BG,Productor de oro,Minería,GOLD,Canadá,USD,NYSE,4/23/2025,19.06,19.01,19.21,18.79,37.52M,-4.56%
Barrick Gold,BG,Productor de oro,Minería,GOLD,Canadá,USD,NYSE,4/22/2025,19.97,20.76,20.83,19.88,32.35M,-2.35%
Barrick Gold,BG,Productor de oro,Minería,GOLD,Canadá,USD,NYSE,4/21/2025,20.45,20.9,20.94,20.22,22.37M,1.39%
Barrick Gold,BG,Productor de oro,Minería,GOLD,Canadá,USD,NYSE,4/17/2025,20.17,20.42,20.51,20.01,19.89M,-2.32%
Barrick Gold,BG,Productor de oro,Minería,GOLD,Canadá,USD,NYSE,4/16/2025,20.65,20.98,21.11,20.41,28.27M,1.62%
Barrick Gold,BG,Productor de oro,Minería,GOLD,Canadá,USD,NYSE,4/15/2025,20.32,20.61,20.68,20.28,20.28M,-0.44%
Barrick Gold,BG,Productor de oro,Minería,GOLD,Canadá,USD,NYSE,4/14/2025,20.41,20.35,20.75,19.83,25.59M,-0.87%
Barrick Gold,BG,Productor de oro,Minería,GOLD,Canadá,USD,NYSE,4/11/2025,20.59,20.11,20.84,20,41.83M,7.02%
Barrick Gold,BG,Productor de oro,Minería,GOLD,Canadá,USD,NYSE,4/10/2025,19.24,18.95,19.53,18.81,30.90M,2.34%
Barrick Gold,BG,Productor de oro,Minería,GOLD,Canadá,USD,NYSE,4/9/2025,18.8,18.16,18.93,17.95,41.27M,7.31%
Barrick Gold,BG,Productor de oro,Minería,GOLD,Canadá,USD,NYSE,4/8/2025,17.52,18.25,18.38,17.35,27.26M,-0.68%
Barrick Gold,BG,Productor de oro,Minería,GOLD,Canadá,USD,NYSE,4/7/2025,17.64,17.15,18.55,17,30.45M,-0.17%
Barrick Gold,BG,Productor de oro,Minería,GOLD,Canadá,USD,NYSE,4/4/2025,17.67,18.81,18.98,17.61,37.35M,-8.82%
Barrick Gold,BG,Productor de oro,Minería,GOLD,Canadá,USD,NYSE,4/3/2025,19.38,18.36,19.76,18.32,37.35M,-0.15%
Barrick Gold,BG,Productor de oro,Minería,GOLD,Canadá,USD,NYSE,4/2/2025,19.41,19.71,19.74,19.17,19.21M,-1.27%
Barrick Gold,BG,Productor de oro,Minería,GOLD,Canadá,USD,NYSE,4/1/2025,19.66,19.5,19.75,19.32,25.22M,1.13%
Barrick Gold,BG,Productor de oro,Minería,GOLD,Canadá,USD,NYSE,3/31/2025,19.44,19.4,19.5,18.77,27.74M,1.57%
Barrick Gold,BG,Productor de oro,Minería,GOLD,Canadá,USD,NYSE,3/28/2025,19.14,19.75,19.89,19.08,23.71M,-2.15%
